videoId,totalWords,totalUniqueWords,totalSentences,avgSyllPerSec,avgCEFRScore,avgWordCEFR,avgFreqCEFR,readability,avgSentenceLength,uncommonRatio,totalEasyRatio,totalMiddleRatio,totalHardRatio,wordEasyRatio,wordMiddleRatio,wordHardRatio,FreqEasyRatio,FreqMiddleRatio,FreqHardRatio,channelId
Ho2ZB3Aj1NI,319,188,60,1.6880749562022561,2.761702127659574,2.5212765957446805,2.9219858156028367,5.387057730496455,5.316666666666666,32.4468085106383,57.76595744680851,17.23404255319149,25.000000000000004,65.42553191489363,12.76595744680851,21.80851063829787,52.65957446808511,20.21276595744681,27.127659574468083,UCqa2MPu8bLY1PwVFUpSyVhQ
20bM-_dXNqg,452,252,76,1.7252982071376677,3.053968253968254,2.861111111111111,3.1825396825396823,6.686179949874687,5.947368421052632,40.476190476190474,51.587301587301596,16.746031746031747,31.666666666666668,59.12698412698413,10.515873015873016,30.35714285714286,46.56084656084656,20.8994708994709,32.53968253968254,UCqa2MPu8bLY1PwVFUpSyVhQ
kwlCVw9T4lM,283,141,77,1.646573951478831,2.499290780141844,2.3546099290780145,2.595744680851064,4.549742912406743,3.675324675324675,27.659574468085108,63.97163120567376,15.460992907801415,20.56737588652482,70.56737588652481,8.51063829787234,20.921985815602834,59.57446808510638,20.094562647754138,20.330969267139483,UCqa2MPu8bLY1PwVFUpSyVhQ
DutTQG6_4UM,282,164,55,1.571763408244865,2.578048780487805,2.5091463414634148,2.623983739837398,5.06833711751663,5.127272727272727,30.48780487804878,62.80487804878049,15.0,22.195121951219512,67.98780487804878,7.926829268292683,24.085365853658537,59.34959349593496,19.715447154471548,20.9349593495935,UCqa2MPu8bLY1PwVFUpSyVhQ
Qogiom_wtw0,255,169,56,1.6535181614959722,2.630769230769231,2.5177514792899407,2.706114398422091,4.897454775993237,4.553571428571429,29.585798816568047,60.94674556213018,17.27810650887574,21.775147928994084,65.68047337278107,12.42603550295858,21.893491124260354,57.79092702169625,20.51282051282051,21.696252465483234,UCqa2MPu8bLY1PwVFUpSyVhQ
6K-aXRRuJ8A,268,138,61,1.6899400253813104,2.444927536231884,2.2644927536231885,2.5652173913043477,5.137987217866477,4.39344262295082,31.15942028985507,63.76811594202899,17.681159420289855,18.550724637681157,69.56521739130434,13.768115942028984,16.666666666666668,59.90338164251208,20.289855072463766,19.806763285024154,UCqa2MPu8bLY1PwVFUpSyVhQ
JZHrCashnNg,414,225,73,1.8835392736601666,2.416888888888889,2.2755555555555556,2.511111111111111,4.632315372907155,5.671232876712328,27.555555555555557,65.77777777777779,16.0,18.22222222222222,72.8888888888889,9.555555555555557,17.555555555555554,61.03703703703704,20.296296296296298,18.666666666666664,UCqa2MPu8bLY1PwVFUpSyVhQ
YiWzqmGDlks,196,120,36,1.8376300954761378,2.51,2.3541666666666665,2.613888888888889,4.349127777777778,5.444444444444445,25.833333333333336,64.66666666666667,13.666666666666668,21.666666666666668,70.0,10.0,20.0,61.11111111111111,16.11111111111111,22.777777777777775,UCqa2MPu8bLY1PwVFUpSyVhQ
q_jSw-7IKJo,212,137,44,1.4716853631933526,2.4671532846715327,2.2773722627737225,2.5936739659367394,4.733945321831453,4.818181818181818,28.467153284671532,66.27737226277372,12.262773722627736,21.45985401459854,73.35766423357664,6.204379562043796,20.437956204379564,61.557177615571774,16.30170316301703,22.14111922141119,UCqa2MPu8bLY1PwVFUpSyVhQ
G6NgH65fsy4,287,180,60,1.9254631808651745,2.437777777777778,2.1944444444444446,2.6,5.149697777777778,4.783333333333333,31.11111111111111,63.11111111111111,19.666666666666664,17.22222222222222,72.22222222222223,14.722222222222221,13.055555555555557,57.03703703703704,22.962962962962962,20.0,UCqa2MPu8bLY1PwVFUpSyVhQ
W3Egu8zU79s,537,249,90,1.744794053565176,2.4626506024096386,2.3112449799196786,2.5635876840696117,5.305625381526105,5.966666666666667,31.72690763052209,63.6144578313253,17.991967871485944,18.393574297188753,69.47791164658635,12.85140562248996,17.670682730923694,59.70548862115126,21.4190093708166,18.87550200803213,UCqa2MPu8bLY1PwVFUpSyVhQ
QOUCll5e01g,276,126,59,1.847147441789385,1.979365079365079,1.9047619047619047,2.029100529100529,3.6155985472154963,4.677966101694915,21.428571428571427,75.71428571428572,14.76190476190476,9.523809523809524,80.15873015873015,9.126984126984127,10.714285714285715,72.75132275132276,18.51851851851852,8.730158730158731,UCqa2MPu8bLY1PwVFUpSyVhQ
Lv8RwlTlhTc,307,187,63,1.8629388634216186,2.3828877005347597,2.286096256684492,2.4474153297682713,3.7036801969272557,4.873015873015873,21.92513368983957,64.81283422459893,18.50267379679144,16.68449197860963,70.32085561497327,11.497326203208557,18.18181818181818,61.140819964349376,23.1729055258467,15.686274509803923,UCqa2MPu8bLY1PwVFUpSyVhQ
bP4YBk_89oU,360,185,48,1.7056808697067616,3.3578378378378373,3.281081081081081,3.4090090090090093,8.395027027027028,7.5,50.810810810810814,48.756756756756765,10.81081081081081,40.432432432432435,53.513513513513516,4.864864864864865,41.62162162162162,45.58558558558559,14.774774774774773,39.63963963963964,UCqa2MPu8bLY1PwVFUpSyVhQ
rwbmDuHmeQM,298,134,82,1.8066997756195429,2.4522388059701496,2.3320895522388057,2.5323383084577116,4.186671568984347,3.6341463414634148,25.37313432835821,65.37313432835822,13.283582089552239,21.34328358208955,71.64179104477611,6.7164179104477615,21.641791044776117,61.19402985074626,17.66169154228856,21.144278606965173,UCqa2MPu8bLY1PwVFUpSyVhQ
fHMG4lYG2to,290,147,46,2.065625206501335,2.6340136054421768,2.5476190476190474,2.6916099773242634,6.11310381543922,6.304347826086956,36.734693877551024,60.816326530612244,16.054421768707485,23.129251700680268,64.62585034013605,12.585034013605442,22.789115646258505,58.2766439909297,18.367346938775512,23.356009070294785,UCqa2MPu8bLY1PwVFUpSyVhQ
YNuh_wIJMa8,360,183,71,1.926821490844205,2.582513661202186,2.371584699453552,2.7231329690346087,6.377667821134457,5.070422535211268,38.79781420765027,61.31147540983606,18.579234972677597,20.109289617486336,68.85245901639344,13.387978142076502,17.75956284153005,56.284153005464475,22.04007285974499,21.67577413479053,UCqa2MPu8bLY1PwVFUpSyVhQ
Gps2EJTWzxg,194,112,57,1.597032203746579,2.5392857142857137,2.25,2.732142857142857,3.9753318922305767,3.4035087719298245,24.107142857142858,61.60714285714286,18.57142857142857,19.82142857142857,71.42857142857143,11.160714285714285,17.41071428571429,55.05952380952381,23.511904761904763,21.428571428571427,UCqa2MPu8bLY1PwVFUpSyVhQ
HieVpt747VU,427,155,71,1.7939115822331244,2.101935483870968,1.8870967741935485,2.2451612903225806,3.660040527033167,6.014084507042254,21.29032258064516,72.77419354838709,15.612903225806452,11.612903225806452,80.64516129032258,8.064516129032258,11.290322580645162,67.52688172043011,20.645161290322584,11.827956989247312,UCqa2MPu8bLY1PwVFUpSyVhQ
JBkZ1ip-h-U,245,147,49,1.5287701044509696,2.8843537414965987,2.761904761904762,2.9659863945578233,5.7261632653061225,5.0,34.69387755102041,56.054421768707485,15.238095238095237,28.707482993197278,60.54421768707483,11.904761904761905,27.551020408163268,53.06122448979592,17.460317460317462,29.478458049886623,UCqa2MPu8bLY1PwVFUpSyVhQ
rD4YM9Fs__M,398,213,72,1.8939421011179263,2.676056338028169,2.495305164319249,2.7965571205007826,5.908168388106417,5.527777777777778,35.68075117370892,59.71830985915493,17.089201877934272,23.192488262910796,66.66666666666666,13.380281690140844,19.953051643192488,55.08607198748044,19.561815336463226,25.352112676056336,UCqa2MPu8bLY1PwVFUpSyVhQ
JjhXT_Bf3Og,358,165,73,1.9402667607402067,2.112727272727273,2.0393939393939395,2.1616161616161613,3.4969408053134083,4.904109589041096,20.606060606060606,72.36363636363636,14.424242424242422,13.212121212121215,77.27272727272727,8.181818181818182,14.545454545454547,69.0909090909091,18.58585858585859,12.323232323232322,UCqa2MPu8bLY1PwVFUpSyVhQ
_y7K8q5lB4U,106,77,33,1.2197289132296163,2.52987012987013,2.558441558441558,2.510822510822511,3.2352952380952384,3.212121212121212,19.480519480519483,64.67532467532467,12.727272727272727,22.5974025974026,68.18181818181819,4.545454545454545,27.27272727272727,62.33766233766234,18.181818181818183,19.480519480519483,UCqa2MPu8bLY1PwVFUpSyVhQ
hBbd4S6xa4o,347,161,78,2.003606089839371,2.4385093167701863,2.2546583850931676,2.561076604554865,3.6532651059085843,4.448717948717949,21.73913043478261,64.22360248447205,17.763975155279503,18.012422360248447,71.42857142857142,11.180124223602483,17.391304347826086,59.42028985507246,22.153209109730852,18.426501035196686,UCqa2MPu8bLY1PwVFUpSyVhQ
BNIh9S7jKec,177,94,39,1.4793281839307615,2.5531914893617023,2.4468085106382977,2.624113475177305,4.760533224222587,4.538461538461538,28.723404255319153,64.8936170212766,10.212765957446809,24.893617021276594,70.2127659574468,5.851063829787234,23.93617021276596,61.34751773049645,13.120567375886527,25.53191489361702,UCqa2MPu8bLY1PwVFUpSyVhQ
9KXf4qajAYQ,236,139,42,1.3782140541243768,2.670503597122302,2.4892086330935252,2.7913669064748206,4.141006920178143,5.619047619047619,24.46043165467626,60.0,15.68345323741007,24.31654676258993,67.98561151079137,9.352517985611511,22.66187050359712,54.67625899280576,19.904076738609113,25.41966426858513,UCqa2MPu8bLY1PwVFUpSyVhQ
7n2QocSM9LE,385,193,96,1.9427537423918393,2.299481865284974,2.181347150259067,2.378238341968912,3.635082469775475,4.010416666666667,21.761658031088082,68.8082901554404,13.989637305699482,17.202072538860104,74.87046632124353,8.549222797927461,16.580310880829018,64.76683937823833,17.616580310880828,17.616580310880828,UCqa2MPu8bLY1PwVFUpSyVhQ
kfhjyr07gYk,530,239,85,1.9530073300532185,2.573221757322176,2.3347280334728033,2.732217573221757,5.000023726310608,6.235294117647059,29.707112970711297,62.59414225941423,15.89958158995816,21.506276150627617,71.1297071129707,9.623430962343097,19.246861924686193,56.903765690376574,20.0836820083682,23.01255230125523,UCqa2MPu8bLY1PwVFUpSyVhQ
vOaugsz3l0k,269,134,77,1.770557634388975,2.282089552238806,2.0186567164179103,2.4577114427860693,4.415367474316729,3.4935064935064934,26.865671641791046,68.50746268656717,14.029850746268657,17.462686567164177,77.98507462686567,7.462686567164179,14.55223880597015,62.189054726368155,18.40796019900497,19.402985074626866,UCqa2MPu8bLY1PwVFUpSyVhQ
T20verA-0Zc,205,106,51,1.651046472102171,2.2660377358490567,2.2452830188679247,2.2798742138364783,2.731731039585646,4.019607843137255,16.037735849056602,69.81132075471697,13.018867924528301,17.169811320754715,72.16981132075472,9.90566037735849,17.92452830188679,68.23899371069183,15.09433962264151,16.666666666666668,UCqa2MPu8bLY1PwVFUpSyVhQ
afjREglEsas,222,127,49,1.6272611594102382,2.3700787401574805,2.216535433070866,2.47244094488189,4.451962461835128,4.530612244897959,26.77165354330709,66.9291338582677,15.590551181102361,17.48031496062992,72.44094488188976,10.629921259842519,16.92913385826772,63.25459317585302,18.897637795275593,17.84776902887139,UCqa2MPu8bLY1PwVFUpSyVhQ
88bGTF1_fRA,301,118,97,1.7706849386902515,2.0322033898305087,1.9872881355932204,2.062146892655367,4.168320181722874,3.1030927835051547,25.423728813559322,75.08474576271186,13.050847457627118,11.864406779661017,77.96610169491525,9.745762711864408,12.288135593220337,73.16384180790959,15.254237288135593,11.581920903954801,UCqa2MPu8bLY1PwVFUpSyVhQ
zdzOkiYn-ac,191,115,43,1.6541628765021812,2.6017391304347823,2.4608695652173913,2.6956521739130435,5.300577148634985,4.441860465116279,32.17391304347826,62.60869565217391,12.173913043478262,25.217391304347828,68.26086956521739,7.826086956521739,23.91304347826087,58.84057971014492,15.072463768115941,26.086956521739133,UCqa2MPu8bLY1PwVFUpSyVhQ
rWgMirS9CD4,282,143,49,1.6597717279612763,2.1216783216783215,1.93006993006993,2.2494172494172493,3.266781732553161,5.755102040816326,18.88111888111888,72.3076923076923,16.083916083916087,11.608391608391608,80.76923076923077,8.391608391608392,10.839160839160838,66.66666666666667,21.212121212121215,12.121212121212123,UCqa2MPu8bLY1PwVFUpSyVhQ
VGst8vC7k6s,234,114,42,1.1625492275629845,2.4438596491228073,2.2149122807017543,2.596491228070175,4.29309724310777,5.571428571428571,25.438596491228072,63.68421052631579,18.24561403508772,18.070175438596493,71.9298245614035,13.596491228070175,14.473684210526315,58.18713450292397,21.34502923976608,20.46783625730994,UCqa2MPu8bLY1PwVFUpSyVhQ
tzpuFI61mKA,185,122,31,1.0747954871996552,2.472131147540984,2.3565573770491803,2.5491803278688523,4.955344262295083,5.967741935483871,29.508196721311474,64.09836065573771,15.737704918032787,20.16393442622951,70.08196721311475,10.245901639344261,19.672131147540984,60.10928961748634,19.398907103825135,20.491803278688522,UCqa2MPu8bLY1PwVFUpSyVhQ
OuHTU8T38ys,416,223,62,1.607315891472868,2.3964125560538116,2.286995515695067,2.4693572496263076,5.289302242152467,6.709677419354839,31.390134529147986,66.00896860986546,16.41255605381166,17.57847533632287,72.19730941704036,10.762331838565022,17.04035874439462,61.883408071748875,20.179372197309416,17.937219730941706,UCqa2MPu8bLY1PwVFUpSyVhQ
xd-veKGoUFA,259,129,34,1.330965194592453,2.3968992248062015,2.2209302325581395,2.51421188630491,3.9275252165982675,7.617647058823529,22.48062015503876,66.8217054263566,15.65891472868217,17.51937984496124,74.03100775193798,9.689922480620156,16.27906976744186,62.01550387596899,19.638242894056848,18.346253229974163,UCqa2MPu8bLY1PwVFUpSyVhQ
iVWvyWU_d7Y,311,174,50,1.7902828181340324,2.220689655172414,2.1005747126436782,2.3007662835249043,3.8476499310344834,6.22,22.413793103448278,69.19540229885058,16.20689655172414,14.597701149425289,74.13793103448276,11.49425287356322,14.367816091954023,65.90038314176245,19.34865900383142,14.750957854406131,UCqa2MPu8bLY1PwVFUpSyVhQ
HNzmZvYfS7U,267,151,55,1.4572929622960251,2.6543046357615894,2.642384105960265,2.662251655629139,4.737275520770621,4.8545454545454545,28.47682119205298,60.52980132450331,15.496688741721854,23.973509933774835,64.90066225165563,7.947019867549669,27.1523178807947,57.61589403973511,20.52980132450331,21.85430463576159,UCqa2MPu8bLY1PwVFUpSyVhQ
JcNCrrO59Rk,435,227,62,1.9114475409142822,2.391189427312775,2.288546255506608,2.4596182085168867,5.1476035242290745,7.016129032258065,30.396475770925107,65.99118942731278,15.418502202643172,18.590308370044053,72.68722466960352,8.810572687224669,18.502202643171806,61.52716593245228,19.823788546255507,18.649045521292216,UCqa2MPu8bLY1PwVFUpSyVhQ
rUgw15AXLhk,430,184,85,1.7905285704495708,2.0228260869565218,1.9375,2.0797101449275366,4.1984176470588235,5.0588235294117645,25.0,73.80434782608697,15.652173913043478,10.543478260869566,78.53260869565219,9.782608695652174,11.68478260869565,70.65217391304348,19.565217391304348,9.782608695652174,UCqa2MPu8bLY1PwVFUpSyVhQ
-sTV5-q02xY,356,180,69,1.9462687628307094,2.174444444444444,2.052777777777778,2.255555555555556,4.1156850241545895,5.159420289855072,24.444444444444443,71.8888888888889,12.88888888888889,15.222222222222221,79.16666666666666,4.444444444444445,16.38888888888889,67.03703703703704,18.51851851851852,14.444444444444443,UCqa2MPu8bLY1PwVFUpSyVhQ
0_-MD5v4z2w,502,240,88,1.722157728878224,2.6766666666666667,2.525,2.777777777777778,5.217320454545455,5.704545454545454,31.25,58.33333333333333,19.166666666666668,22.499999999999996,65.41666666666667,12.708333333333334,21.875000000000004,53.61111111111111,23.47222222222222,22.916666666666668,UCqa2MPu8bLY1PwVFUpSyVhQ
xbe_Xzy8-PE,188,101,47,1.3047915249295363,2.1683168316831685,2.099009900990099,2.2145214521452146,3.3251326732673268,4.0,19.801980198019802,73.86138613861387,8.514851485148515,17.62376237623762,77.22772277227723,5.445544554455445,17.32673267326733,71.61716171617161,10.561056105610561,17.82178217821782,UCqa2MPu8bLY1PwVFUpSyVhQ
