videoId,totalWords,totalUniqueWords,totalSentences,avgSyllPerSec,avgCEFRScore,readability,uncommonRatio,A1ratio,A2ratio,B1ratio,B2ratio,C1ratio,C2ratio,Nratio
D9WnEVtELt4,83,70,8,1.419896296859747,3.457142857142857,9.086314285714286,54.285714285714285,29.42857142857143,11.142857142857142,13.142857142857142,9.428571428571427,4.285714285714286,0.0,32.57142857142858
AtbhSRCR7S0,1191,593,140,1.9600965489484514,3.1966273187183813,7.23854787761985,43.17032040472175,31.197301854974707,15.615514333895447,12.175379426644183,10.050590219224285,5.261382799325463,0.03372681281618887,25.66610455311973
pBCLoeWM3C8,1681,802,157,2.195876056318866,3.512219451371571,9.056092453579428,53.99002493765585,24.03990024937656,13.890274314214466,13.865336658354115,12.817955112219451,5.785536159600997,0.09975062344139653,29.501246882793016
n-qjx1oSWuk,1348,418,141,2.3708086385812703,2.929665071770335,7.198161362788015,42.58373205741627,37.846889952153106,14.545454545454545,12.200956937799043,9.617224880382775,3.7799043062200957,0.09569377990430622,21.913875598086126
E5Y9Of8L4b8,3433,802,381,2.273523723819865,3.3678304239401498,8.2828558970029,49.62593516209476,28.703241895261844,15.037406483790521,11.620947630922695,10.074812967581046,4.5386533665835405,0.07481296758104738,29.9501246882793
6NwN6YREiQE,1424,462,147,2.4126835114459864,2.934199134199134,7.350154236239951,43.506493506493506,37.01298701298701,15.238095238095239,12.077922077922079,9.913419913419913,4.5021645021645025,0.12987012987012986,21.125541125541126
Ba3hX_TRUz4,1096,409,215,2.1303898660781906,2.936430317848411,6.121010910331496,37.163814180929094,40.048899755501225,13.838630806845966,10.317848410757948,7.921760391198044,3.960880195599022,0.0,23.9119804400978
lXnEVKzDvbA,4924,1002,508,2.3214485004232364,3.424750499001996,8.738213613717447,52.29540918163673,27.125748502994014,14.151696606786428,12.15568862275449,11.696606786427147,5.429141716566866,0.03992015968063872,29.40119760479042
BhTJD7Nhmig,330,162,62,0.8188936049856002,2.291358024691358,4.74758024691358,28.39506172839506,55.925925925925924,13.333333333333334,7.160493827160494,7.160493827160494,2.0987654320987654,0.0,14.320987654320987
6144EJIDj94,1188,536,139,1.9864380147284588,3.196268656716418,7.140561215505209,42.53731343283582,32.08955223880597,14.850746268656714,11.753731343283583,10.44776119402985,4.365671641791045,0.0373134328358209,26.455223880597018
LUMisKBtOfE,1860,541,280,2.341058465830473,3.0417744916820704,7.042424716134144,42.513863216266174,34.82439926062847,15.785582255083181,12.31053604436229,9.131238447319777,3.364140480591497,0.0,24.58410351201479
uAJm9COWUpc,1531,461,177,2.415791996420002,3.011713665943601,7.758874144882778,46.420824295010846,36.00867678958785,13.709327548806943,13.275488069414317,9.84815618221258,4.425162689804772,0.08676789587852496,22.646420824295014
rjuvjhUv1VQ,1860,746,184,2.1005738279554746,3.0812332439678283,7.6979060496561384,45.57640750670242,30.750670241286866,16.595174262734584,13.887399463806972,12.010723860589811,6.058981233243968,0.05361930294906167,20.64343163538874
KoLrymTT2co,1884,710,251,2.2099573275332616,3.193521126760564,7.533395005891926,45.352112676056336,31.04225352112676,15.380281690140846,11.915492957746478,11.295774647887324,5.577464788732395,0.11267605633802817,24.676056338028168
6tW5E4KKSzY,233,176,33,2.117065572802595,3.118181818181818,7.078899242424243,42.61363636363637,32.61363636363636,15.454545454545453,12.386363636363637,10.454545454545453,5.227272727272727,0.11363636363636365,23.75
oWocebisb5k,2378,667,292,2.387271280629792,3.1640179910044974,7.576902762317473,45.42728635682159,31.754122938530738,15.562218890554721,12.263868065967017,10.434782608695652,4.917541229385307,0.059970014992503755,25.007496251874066
ElyXJOF1Es4,1139,508,111,2.2958376585677662,3.1440944881889763,8.310710527062497,49.40944881889764,32.59842519685039,14.212598425196852,12.755905511811022,11.141732283464567,5.196850393700787,0.03937007874015749,24.055118110236222
y3DSoSia__Q,661,395,57,2.060891513048181,3.1124050632911393,7.450831534532535,43.54430379746835,35.69620253164557,13.063291139240507,11.443037974683545,9.772151898734178,4.151898734177214,0.05063291139240507,25.82278481012658
PnceSzQ-CpI,1235,607,132,2.085152623849812,3.065238879736408,7.3315400129798824,43.49258649093905,32.48764415156507,15.782537067545304,13.607907742998352,11.13673805601318,4.810543657331136,0.0,22.174629324546952
lkVhSBX9qYA,1459,524,191,2.19083794325337,2.951908396946565,6.827469461652214,40.839694656488554,37.48091603053435,15.458015267175574,11.106870229007635,9.274809160305344,3.7022900763358777,0.11450381679389314,22.862595419847327
8FHQRHux4pk,2751,820,283,2.2038549352000247,3.2243902439024397,7.491373575799363,44.390243902439025,31.024390243902438,14.658536585365853,12.170731707317072,11.26829268292683,4.7560975609756095,0.02439024390243903,26.097560975609756
QlgIWfBb0Ys,669,428,62,2.2226253154268107,3.055140186915888,7.323424299065421,42.99065420560748,34.90654205607477,14.299065420560748,11.869158878504672,10.607476635514018,5.934579439252336,0.04672897196261683,22.33644859813084
7QJPCIBgV5g,465,284,52,2.13876306711152,2.8471830985915494,7.726953954496209,46.12676056338028,39.929577464788736,14.507042253521126,11.408450704225352,9.71830985915493,3.9436619718309855,0.0,20.492957746478872
7MJFxHRGkhg,3033,723,300,2.22663390827465,3.151313969571231,7.926905515905948,47.026279391424616,31.535269709543567,15.629322268326417,12.80774550484094,10.677731673582297,4.8962655601659755,0.11065006915629322,24.343015214384508
wm9J8o6zrSI,1391,727,154,2.0676407348147596,3.352407152682256,7.984640375855231,47.73039889958734,28.36313617606602,14.002751031636866,13.204951856946353,10.674002751031637,5.969738651994497,0.055020632737276476,27.730398899587342
3dUGhEtptZE,4542,785,623,2.201993281370382,3.0680254777070064,7.03967396714071,42.29299363057325,31.898089171974526,17.401273885350317,13.095541401273886,10.038216560509554,4.738853503184714,0.0,22.828025477707005
pymx0Nkry2Q,1602,458,229,2.1587549456612334,2.873362445414847,6.793992139737992,40.8296943231441,36.63755458515284,16.069868995633186,12.707423580786026,11.528384279475983,4.0174672489082965,0.0,19.03930131004367
1QHv_7RQARA,2759,759,266,2.2389888063731753,3.230566534914361,8.170217726133515,48.484848484848484,31.330698287220027,14.677206851119895,11.936758893280631,10.513833992094861,4.743083003952568,0.05270092226613966,26.745718050065875
DRO-4KX58Zc,912,500,88,2.107565717226799,2.97,7.587956363636365,44.800000000000004,36.12,15.080000000000002,12.559999999999999,10.280000000000001,3.84,0.04,22.080000000000002
xQp6v7247L0,2311,589,310,1.9212045063378602,3.130390492359932,7.527535891341258,45.331069609507644,33.921901528013585,14.66893039049236,11.98641765704584,9.168081494057725,4.380305602716469,0.03395585738539898,25.840407470288625
uTakBYZxSQo,1906,522,196,2.213850715642756,2.9911877394636015,7.560610555946518,44.827586206896555,34.59770114942528,16.360153256704983,13.141762452107278,9.272030651340996,4.482758620689655,0.03831417624521073,22.107279693486593
WIrXrNBdYb8,2958,528,489,2.0381054896665676,2.6568181818181817,5.324125264919131,31.818181818181817,40.75757575757575,18.06818181818182,12.992424242424242,7.992424242424242,3.295454545454545,0.0,16.893939393939394
1YQYPIV9-sY,1436,687,146,1.944164971735055,3.265502183406114,7.980626779127037,47.45269286754003,29.868995633187772,14.323144104803495,12.809315866084425,11.353711790393014,5.676855895196507,0.058224163027656484,25.90975254730713
rdE33G9M76U,2448,632,447,1.8049799069786328,2.967405063291139,5.943043127176961,35.91772151898734,35.75949367088608,16.67721518987342,11.80379746835443,9.30379746835443,3.7341772151898738,0.09493670886075949,22.626582278481013
7VK5HlQOczc,4034,1228,494,1.9797469946935968,3.630618892508143,8.814365445937572,53.25732899022802,23.859934853420196,13.501628664495117,12.231270358306189,10.993485342019543,4.951140065146579,0.03257328990228013,34.4299674267101
